City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
610,Malkerns,SZ,61.59,clear sky,-26.5667,31.1833,Esthers Lodge
611,Sabang,ID,78.01,light rain,5.8933,95.3214,Hotel Citra
612,Ryotsu,JP,64.36,few clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
614,Mayumba,GA,74.01,few clouds,-3.432,10.6554,LIKWALE LODGE
615,Yenagoa,NG,75.87,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
616,Poso,ID,77.88,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
619,Alta Floresta,BR,83.26,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
620,Kaspiysk,RU,60.98,clear sky,42.8816,47.6392,Alima Hostel
621,Mahanoro,MG,65.59,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
622,Morondava,MG,66.61,clear sky,-20.2833,44.2833,La Case Bambou
630,Karpathos,GR,80.56,clear sky,35.507,27.2132,Alex
633,Tabou,CI,77.72,light rain,4.423,-7.3528,hotêl doufoulougou
636,Ulladulla,AU,64.09,clear sky,-35.35,150.4667,Sandpiper Motel
638,Chelmsford,GB,61.09,overcast clouds,51.7357,0.4696,Best Western Atlantic Hotel
640,Cruz Grande,MX,86.38,overcast clouds,16.7333,-99.1333,Hotel Camila
641,Mahina,PF,82.17,scattered clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
642,Sydney,AU,70.32,clear sky,-33.8679,151.2073,The Grace Sydney
643,Balugaon,IN,76.75,overcast clouds,20.1667,85.1,Kridashpur Kalyan Mandap
644,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
645,Chongwe,ZM,61.0,clear sky,-15.3292,28.682,Grakas Lodge
646,Road Town,VG,82.49,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
649,Feijo,BR,79.83,scattered clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
650,Barcelos,PT,64.92,scattered clouds,41.5388,-8.6151,Hotel Do Terço
651,Coruripe,BR,73.94,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
653,Port Shepstone,ZA,66.06,broken clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
654,Sungaipenuh,ID,62.83,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
655,Camocim,BR,78.55,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
656,Robertsport,LR,78.15,light rain,6.7533,-11.3686,Kwepunha Retreat
657,Miyako,JP,68.27,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
658,Iranshahr,IR,86.25,clear sky,27.2025,60.6848,نیک سرشت
661,Malang,ID,69.96,broken clouds,-7.9797,112.6304,Hotel Tugu Malang
663,Camalu,MX,76.42,clear sky,30.85,-116.0667,La Cueva del Pirata
665,Tongren,CN,69.46,broken clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
667,Nago,JP,79.65,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
668,Qurayyat,SA,69.98,clear sky,31.3318,37.3428,Mozon Furnished Aprtments
670,Santa Cruz,BO,89.06,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
671,Itaituba,BR,82.38,scattered clouds,-4.2761,-55.9836,Hotel Campos
672,Konya,TR,63.88,clear sky,38.1667,32.5,Bahcesaray Koyu Muhtarligi
674,Sawakin,SD,87.06,few clouds,19.1059,37.3321,فندق الدويم
679,Mareeba,AU,70.52,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
680,Camana,PE,60.85,broken clouds,-16.6228,-72.7111,Hostal Morales
681,Maumere,ID,80.8,broken clouds,-8.6199,122.2111,Sylvia Hotel
682,Bari,IT,76.84,clear sky,41.1177,16.8512,Mercure Villa Romanazzi Carducci Bari
686,Puerto Quijarro,BO,89.19,clear sky,-17.7833,-57.7667,Hotel palance
693,Katherine,AU,71.92,clear sky,-14.4667,132.2667,Pine Tree Motel
694,Loreto,MX,71.01,broken clouds,22.2667,-101.9667,José de Jesús Velásquez mora
697,Los Llanos De Aridane,ES,69.55,few clouds,28.6585,-17.9182,Valle Aridane
699,Numata,JP,65.19,scattered clouds,36.6333,139.05,Hotel Bella-Vita
701,Talcher,IN,76.39,overcast clouds,20.95,85.2167,Hotel Green Park
703,Embonas,GR,74.84,clear sky,36.2269,27.8564,Hotel Ataviros
704,Emilio Carranza,MX,81.93,broken clouds,19.9711,-96.6114,casa carranza
712,Tautira,PF,82.42,broken clouds,-17.7333,-149.15,Pension Oaoa
713,San Juan Del Cesar,CO,81.79,overcast clouds,10.7711,-73.0031,Hotel Saraje
714,Waddan,LY,84.74,clear sky,29.1614,16.139,محل الشريف محمد العايب
