City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
101,Barrow,US,71.2906,-156.7887,30.22,86,90,18.41,light snow
102,Kahului,US,20.8947,-156.47,87.82,63,40,23.02,scattered clouds
103,Ossora,RU,59.2353,163.0719,51.6,84,100,5.21,light rain
104,Bathsheba,BB,13.2167,-59.5167,83.01,69,20,8.05,few clouds
105,Hun,LY,29.1268,15.9477,84.67,23,0,8.46,clear sky
106,Paamiut,GL,61.994,-49.6678,36.77,82,93,8.93,overcast clouds
107,Terney,RU,45.0503,136.6092,55.87,55,80,6.76,broken clouds
108,Ostrovnoy,RU,68.0531,39.5131,36.61,80,23,7.29,few clouds
109,Kavieng,PG,-2.5744,150.7967,83.53,70,54,8.72,broken clouds
110,Berlevag,NO,70.8578,29.0864,39.2,76,99,23.17,overcast clouds
111,Kodiak,US,57.79,-152.4072,51.31,76,20,5.75,few clouds
112,Coquimbo,CL,-29.9533,-71.3436,58.73,72,20,11.5,few clouds
113,Chuguyevka,RU,44.1653,133.8633,56.17,70,93,1.12,overcast clouds
114,Victoria,HK,22.2855,114.1577,85.32,86,18,5.55,few clouds
115,Alice Springs,AU,-23.7,133.8833,63.95,63,75,5.75,broken clouds
116,Kimbe,PG,-5.5502,150.1429,84.18,70,88,2.68,overcast clouds
117,Tura,IN,25.5198,90.2201,71.51,98,33,4.09,scattered clouds
118,Lanat,PH,15.8,120.6,77.0,89,100,1.99,overcast clouds
119,Belmonte,BR,-15.8631,-38.8828,75.7,81,27,7.63,scattered clouds
120,Klaksvik,FO,62.2266,-6.589,52.72,87,38,11.74,scattered clouds
121,San Patricio,US,28.017,-97.5169,97.52,40,1,8.97,clear sky
122,Cuiluan,CN,47.72,128.648,45.48,80,100,1.68,overcast clouds
123,Lahaina,US,20.8783,-156.6825,87.8,69,89,9.95,overcast clouds
124,Praia,CV,14.9215,-23.5087,79.34,89,40,6.91,scattered clouds
125,Carnarvon,AU,-24.8667,113.6333,57.27,54,0,10.36,clear sky
126,Tarakan,ID,3.3,117.6333,78.3,89,40,5.75,scattered clouds
127,Port Blair,IN,11.6667,92.75,79.97,85,100,3.51,light rain
128,Uglovskoye,RU,51.3557,80.1942,39.51,68,59,13.27,broken clouds
129,Goderich,CA,43.7501,-81.7165,71.91,60,0,3.44,clear sky
130,Castro,BR,-24.7911,-50.0119,64.31,95,51,4.27,broken clouds
131,Honiara,SB,-9.4333,159.95,82.06,80,97,11.65,overcast clouds
132,Kilindoni,TZ,-7.9139,39.6668,76.62,76,31,18.19,scattered clouds
133,Panguna,PG,-6.3164,155.4848,79.7,66,93,2.13,overcast clouds
134,Bethel,US,41.3712,-73.414,72.48,73,7,4.34,clear sky
135,Supaul,IN,26.1167,86.6,79.41,86,45,6.33,scattered clouds
136,Tighina,MD,46.8306,29.4711,47.28,80,16,3.42,few clouds
137,Sitka,US,57.0531,-135.33,55.29,76,75,4.61,broken clouds
138,Emba,KZ,48.8264,58.1442,42.82,43,28,6.44,scattered clouds
139,Acari,PE,-15.4311,-74.6158,64.4,78,56,4.97,broken clouds
140,Bilibino,RU,68.0546,166.4372,24.15,70,37,4.32,scattered clouds
141,Verkhnyaya Inta,RU,65.9811,60.3094,30.56,94,29,7.38,scattered clouds
142,Prince Rupert,CA,54.3161,-130.3201,55.49,85,90,4.61,light rain
143,Great Yarmouth,GB,52.6083,1.7305,61.23,89,100,3.22,light rain
144,Iqaluit,CA,63.7506,-68.5145,35.33,75,40,13.8,scattered clouds
145,Srednekolymsk,RU,67.45,153.6833,32.32,53,100,19.89,overcast clouds
146,Richards Bay,ZA,-28.783,32.0377,65.55,70,73,16.87,broken clouds
147,Esil,KZ,51.9556,66.4042,35.8,67,7,9.46,clear sky
148,Sioux Lookout,CA,50.1001,-91.917,79.18,61,75,11.5,broken clouds
149,Zelenogradsk,RU,54.9589,20.4767,51.85,66,75,11.18,broken clouds
150,Kencong,ID,-8.2833,113.3667,73.92,87,38,1.43,scattered clouds
151,Cape Town,ZA,-33.9258,18.4232,57.11,90,75,1.01,broken clouds
152,Qujing,CN,25.4833,103.7833,49.69,94,28,2.55,scattered clouds
153,Shuyskoye,RU,59.3736,41.0305,32.63,83,82,5.93,broken clouds
154,Tiksi,RU,71.6872,128.8694,34.48,74,100,19.51,overcast clouds
155,Buala,SB,-8.145,159.5921,82.11,78,100,8.97,moderate rain
156,Asau,RO,46.4333,26.4,48.96,98,44,4.09,scattered clouds
157,Fortuna,US,40.5982,-124.1573,74.19,62,20,8.01,few clouds
158,West Bay,KY,19.3667,-81.4167,87.87,77,20,1.01,few clouds
159,Nyurba,RU,63.2842,118.3319,26.46,81,10,1.92,clear sky
160,Sakakah,SA,29.9697,40.2064,83.77,23,0,1.43,clear sky
161,San Cristobal,VE,7.7669,-72.225,77.18,96,56,2.89,broken clouds
162,Anito,PH,12.4497,125.2886,80.8,83,100,2.62,overcast clouds
163,Teluknaga,ID,-6.0989,106.6381,77.18,88,20,5.75,few clouds
164,Cap Malheureux,MU,-19.9842,57.6142,70.29,66,91,1.99,overcast clouds
165,Acapulco,MX,16.8634,-99.8901,87.62,70,75,4.61,broken clouds
166,High Prairie,CA,55.4334,-116.4858,56.5,51,96,10.71,overcast clouds
167,Ocampo,MX,21.65,-101.5,66.11,60,87,6.08,overcast clouds
168,Te Anau,NZ,-45.4167,167.7167,43.02,96,79,7.25,broken clouds
169,Saldanha,ZA,-33.0117,17.9442,57.25,80,88,8.59,overcast clouds
170,East London,ZA,-33.0153,27.9116,61.2,82,13,9.82,few clouds
171,Redcliffe,AU,-27.2307,153.0973,74.08,77,0,8.05,clear sky
172,Lorengau,PG,-2.0226,147.2712,84.56,69,88,8.41,overcast clouds
173,Esmeraldas,BR,-19.7625,-44.3139,87.04,28,85,10.13,overcast clouds
174,Vostok,RU,46.4856,135.8833,47.43,62,18,2.33,few clouds
175,Westport,US,41.1415,-73.3579,74.98,57,1,4.0,clear sky
176,Saint-Joseph,RE,-21.3667,55.6167,62.98,70,4,5.48,clear sky
177,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.94,88,9,8.75,clear sky
178,Maxixe,MZ,-23.8597,35.3472,64.63,71,0,8.03,clear sky
179,Tahta,EG,26.7693,31.5021,82.72,25,3,5.39,clear sky
180,Geelong,AU,-38.1471,144.3607,55.81,73,26,18.01,light rain
