City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Itaobim,BR,2021-09-19 17:20:51,-16.5667,-41.8333,97.84,18,9,4.56
68,Asau,RO,2021-09-19 17:20:51,46.4333,26.4,53.96,86,75,2.75
69,Hermanus,ZA,2021-09-19 17:20:51,-34.4187,19.2345,59.9,77,0,15.1
70,Padang,ID,2021-09-19 17:20:51,-0.9492,100.3543,77.05,84,100,3.38
71,Viedma,AR,2021-09-19 17:20:33,-40.8135,-62.9967,66.43,48,66,15.08
72,Novoagansk,RU,2021-09-19 17:20:52,61.9449,76.6625,35.83,94,93,4.43
73,Nichlaul,IN,2021-09-19 17:20:52,27.3167,83.7333,80.2,83,27,3.53
74,Paliyad,IN,2021-09-19 17:20:52,22.25,71.5667,81.79,79,74,12.77
75,Kassala,SD,2021-09-19 17:20:52,15.451,36.4,89.82,44,2,4.47
76,Esperance,AU,2021-09-19 17:20:21,-33.8667,121.9,54.1,60,91,11.83
77,Coahuayana,MX,2021-09-19 17:20:53,18.7333,-103.6833,83.68,95,100,2.13
78,Provideniya,RU,2021-09-19 17:20:21,64.3833,-173.3,32.97,86,100,9.33
79,Bintulu,MY,2021-09-19 17:20:53,3.1667,113.0333,75.61,100,40,0.0
80,Georgetown,MY,2021-09-19 17:19:21,5.4112,100.3354,80.55,91,40,1.01
81,Saldanha,ZA,2021-09-19 17:20:53,-33.0117,17.9442,59.05,79,100,8.16
82,Lompoc,US,2021-09-19 17:20:54,34.6391,-120.4579,77.85,66,1,0.0
83,Hofn,IS,2021-09-19 17:20:54,64.2539,-15.2082,50.95,80,27,17.52
84,Cabo Rojo,PR,2021-09-19 17:20:54,18.0866,-67.1457,89.82,75,18,5.82
85,Flinders,AU,2021-09-19 17:20:18,-34.5833,150.8552,56.05,74,0,1.01
86,Ostrovnoy,RU,2021-09-19 17:20:54,68.0531,39.5131,38.25,73,6,3.89
87,Maltahohe,NA,2021-09-19 17:20:55,-24.8333,16.9833,68.0,15,0,16.62
88,Lobva,RU,2021-09-19 17:20:55,59.1854,60.5185,36.1,73,94,9.84
89,Orumiyeh,IR,2021-09-19 17:20:55,37.5527,45.0761,60.35,59,0,4.61
90,Hithadhoo,MV,2021-09-19 17:20:55,-0.6,73.0833,83.28,71,96,2.17
91,Tadine,NC,2021-09-19 17:20:56,-21.55,167.8833,67.42,65,95,12.28
92,Norman Wells,CA,2021-09-19 17:16:19,65.282,-126.8329,42.84,93,90,2.3
93,Saskylakh,RU,2021-09-19 17:20:56,71.9167,114.0833,30.06,86,100,4.09
94,Severo-Kurilsk,RU,2021-09-19 17:20:56,50.6789,156.125,51.64,96,100,7.96
95,Senador Guiomard,BR,2021-09-19 17:20:56,-10.1522,-67.7392,94.75,24,26,3.69
96,Nikolskoye,RU,2021-09-19 17:20:29,59.7035,30.7861,44.49,73,98,6.73
97,Agadez,NE,2021-09-19 17:20:57,19.75,10.25,94.8,10,83,5.88
98,Baran,IN,2021-09-19 17:20:57,25.1,76.5167,76.89,93,59,11.92
99,Itoman,JP,2021-09-19 17:20:57,26.1247,127.6694,78.82,78,20,3.44
100,Katsuura,JP,2021-09-19 17:20:57,35.1333,140.3,68.11,75,91,15.59
101,Lamu,KE,2021-09-19 17:20:58,-2.2717,40.902,77.22,80,9,14.92
102,Tuktoyaktuk,CA,2021-09-19 17:20:58,69.4541,-133.0374,41.0,70,75,18.41
103,Cabo San Lucas,MX,2021-09-19 17:20:58,22.8909,-109.9124,92.17,65,20,1.01
104,Kailua,US,2021-09-19 17:20:59,21.4022,-157.7394,76.98,75,90,6.91
105,New Norfolk,AU,2021-09-19 17:20:59,-42.7826,147.0587,47.7,78,58,1.01
106,Samoylovka,RU,2021-09-19 17:20:59,51.184,43.7081,55.9,36,100,19.28
107,Panguipulli,CL,2021-09-19 17:16:14,-39.6333,-72.3333,51.51,47,26,4.16
108,Longyearbyen,SJ,2021-09-19 17:20:59,78.2186,15.6401,39.04,93,75,8.05
109,Pierre,US,2021-09-19 17:21:00,44.3683,-100.351,79.72,53,1,11.5
110,Soyo,AO,2021-09-19 17:21:00,-6.1349,12.3689,78.85,71,51,8.57
111,Bathsheba,BB,2021-09-19 17:21:00,13.2167,-59.5167,90.21,58,20,10.36
112,Plettenberg Bay,ZA,2021-09-19 17:21:01,-34.0527,23.3716,57.13,90,51,2.06
113,Thompson,CA,2021-09-19 17:21:01,55.7435,-97.8558,59.16,88,75,3.44
114,Lavrentiya,RU,2021-09-19 17:21:01,65.5833,-171.0,28.74,75,41,7.23
115,Mareeba,AU,2021-09-19 17:21:01,-17.0,145.4333,66.92,88,100,2.3
116,Mataura,NZ,2021-09-19 17:20:16,-46.1927,168.8643,39.47,98,19,3.0
117,Axim,GH,2021-09-19 17:21:02,4.8699,-2.2405,79.18,78,22,7.18
118,Maldonado,UY,2021-09-19 17:20:10,-34.6667,-54.9167,69.22,76,81,15.03
119,West Fargo,US,2021-09-19 17:21:02,46.875,-96.9004,80.65,56,1,5.01
